Descripcion;Colección;Prefijo_Coleccion;Codigo_Producto;SKU;Foto_Comodin_Coleccion;Foto_Real_Codigo_Producto;Precio_EUR;Precio_COP;Multiplicador
;AVORIO E ORO;GIG;024;GIG024;Avorio_E_Oro.png;024.jpg;EUR 45,22;COP 569.812;
Small fruit bowl;GIALLO FIORE;GF;025;GF025;Giallo_Fiore.png;025.jpg;EUR 17,31;COP 218.131;
;BIANCO FIORE;BF;025;BF025;Bianco_Fiore.png;025.jpg;EUR 17,31;COP 218.131;
;MAZZETTO;MZ;025;MZ025;Mazzetto.png;025.jpg;EUR 19,47;COP 245.347;
;GAROFANO BLU;GB;025;GB025;Garofano_Blu.png;025.jpg;EUR 26,69;COP 336.269;
;GAROFANO IMOLA;GI;025;GI025;Garofano_Imola.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO TIFFANY;GT;025;GT025;Garofano_Tiffany.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO ROSA;GP;025;GP025;Garofano_Rosa.png;025.jpg;EUR 30,30;COP 381.730;
;GAROFANO LAVI;GL;025;GL025;Garofano_Lavi.png;025.jpg;EUR 30,30;COP 381.730;
;ROSSO E ORO;GRG;025;GRG025;Rosso_E_Oro.png;025.jpg;EUR 33,33;COP 419.903;
;AVORIO E ORO;GIG;025;GIG025;Avorio_E_Oro.png;025.jpg;EUR 33,33;COP 419.903;
Medium fruit bowl;GIALLO FIORE;GF;026;GF026;Giallo_Fiore.png;026.jpg;EUR 23,80;COP 299.880;
;BIANCO FIORE;BF;026;BF026;Bianco_Fiore.png;026.jpg;EUR 23,80;COP 299.880;
;MAZZETTO;MZ;026;MZ026;Mazzetto.png;026.jpg;EUR 27,41;COP 345.341;
;GAROFANO BLU;GB;026;GB026;Garofano_Blu.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO IMOLA;GI;026;GI026;Garofano_Imola.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO TIFFANY;GT;026;GT026;Garofano_Tiffany.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO ROSA;GP;026;GP026;Garofano_Rosa.png;026.jpg;EUR 40,39;COP 508.939;
;GAROFANO LAVI;GL;026;GL026;Garofano_Lavi.png;026.jpg;EUR 40,39;COP 508.939;
;ROSSO E ORO;GRG;026;GRG026;Rosso_E_Oro.png;026.jpg;EUR 44,43;COP 559.833;
;AVORIO E ORO;GIG;026;GIG026;Avorio_E_Oro.png;026.jpg;EUR 44,43;COP 559.833;
Large fruit bowl;GIALLO FIORE;GF;027;GF027;Giallo_Fiore.png;027.jpg;EUR 29,58;COP 372.658;
;BIANCO FIORE;BF;027;BF027;Bianco_Fiore.png;027.jpg;EUR 29,58;COP 372.658;
;MAZZETTO;MZ;027;MZ027;Mazzetto.png;027.jpg;EUR 34,62;COP 436.262;
;GAROFANO BLU;GB;027;GB027;Garofano_Blu.png;027.jpg;EUR 48,33;COP 608.933;
;GAROFANO IMOLA;GI;027;GI027;Garofano_Imola.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO TIFFANY;GT;027;GT027;Garofano_Tiffany.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO ROSA;GP;027;GP027;Garofano_Rosa.png;027.jpg;EUR 51,94;COP 654.394;
;GAROFANO LAVI;GL;027;GL027;Garofano_Lavi.png;027.jpg;EUR 51,94;COP 654.394;
;ROSSO E ORO;GRG;027;GRG027;Rosso_E_Oro.png;027.jpg;EUR 57,13;COP 719.833;
;AVORIO E ORO;GIG;027;GIG027;Avorio_E_Oro.png;027.jpg;EUR 57,13;COP 719.833;
Crudités bowl;GIALLO FIORE;GF;028;GF028;Giallo_Fiore.png;028.jpg;EUR 15,87;COP 199.987;
;BIANCO FIORE;BF;028;BF028;Bianco_Fiore.png;028.jpg;EUR 15,87;COP 199.987;
;MAZZETTO;MZ;028;MZ028;Mazzetto.png;028.jpg;EUR 19,47;COP 245.347;
;GAROFANO BLU;GB;028;GB028;Garofano_Blu.png;028.jpg;EUR 23,08;COP 290.808;
;GAROFANO IMOLA;GI;028;GI028;Garofano_Imola.png;028.jpg;EUR 28,13;COP 354.413;
;GAROFANO TIFFANY;GT;028;GT028;Garofano_Tiffany.png;028.jpg;EUR 28,13;COP 354.413;
;GAROFANO ROSA;GP;028;GP028;Garofano_Rosa.png;028.jpg;EUR 28,13;COP 354.413;
;GAROFANO LAVI;GL;028;GL028;Garofano_Lavi.png;028.jpg;EUR 28,13;COP 354.413;
;ROSSO E ORO;GRG;028;GRG028;Rosso_E_Oro.png;028.jpg;EUR 30,94;COP 389.854;
;AVORIO E ORO;GIG;028;GIG028;Avorio_E_Oro.png;028.jpg;EUR 30,94;COP 389.854;
Small oval-shaped bowl;GIALLO FIORE;GF;029;GF029;Giallo_Fiore.png;029.jpg;EUR 21,64;COP 272.664;
;BIANCO FIORE;BF;029;BF029;Bianco_Fiore.png;029.jpg;EUR 21,64;COP 272.664;
;MAZZETTO;MZ;029;MZ029;Mazzetto.png;029.jpg;EUR 24,53;COP 309.053;
;GAROFANO BLU;GB;029;GB029;Garofano_Blu.png;029.jpg;EUR 26,69;COP 336.269;
;GAROFANO IMOLA;GI;029;GI029;Garofano_Imola.png;029.jpg;EUR 36,78;COP 463.478;
;GAROFANO TIFFANY;GT;029;GT029;Garofano_Tiffany.png;029.jpg;EUR 36,78;COP 463.478;
;GAROFANO ROSA;GP;029;GP029;Garofano_Rosa.png;029.jpg;EUR 36,78;COP 463.478;
;GAROFANO LAVI;GL;029;GL029;Garofano_Lavi.png;029.jpg;EUR 36,78;COP 463.478;
;ROSSO E ORO;GRG;029;GRG029;Rosso_E_Oro.png;029.jpg;EUR 40,46;COP 509.826;
;AVORIO E ORO;GIG;029;GIG029;Avorio_E_Oro.png;029.jpg;EUR 40,46;COP 509.826;
Medium oval-shaped bowl;GIALLO FIORE;GF;030;GF030;Giallo_Fiore.png;030.jpg;EUR 23,80;COP 299.880;
;BIANCO FIORE;BF;030;BF030;Bianco_Fiore.png;030.jpg;EUR 23,80;COP 299.880;
;MAZZETTO;MZ;030;MZ030;Mazzetto.png;030.jpg;EUR 28,13;COP 354.413;
;GAROFANO BLU;GB;030;GB030;Garofano_Blu.png;030.jpg;EUR 31,74;COP 399.874;
;GAROFANO IMOLA;GI;030;GI030;Garofano_Imola.png;030.jpg;EUR 41,11;COP 518.011;
;GAROFANO TIFFANY;GT;030;GT030;Garofano_Tiffany.png;030.jpg;EUR 41,11;COP 518.011;
;GAROFANO ROSA;GP;030;GP030;Garofano_Rosa.png;030.jpg;EUR 41,11;COP 518.011;
;GAROFANO LAVI;GL;030;GL030;Garofano_Lavi.png;030.jpg;EUR 41,11;COP 518.011;
;ROSSO E ORO;GRG;030;GRG030;Rosso_E_Oro.png;030.jpg;EUR 45,22;COP 569.812;
;AVORIO E ORO;GIG;030;GIG030;Avorio_E_Oro.png;030.jpg;EUR 45,22;COP 569.812;
Large oval-shaped bowl;GIALLO FIORE;GF;031;GF031;Giallo_Fiore.png;031.jpg;EUR 28,13;COP 354.413;
;BIANCO FIORE;BF;031;BF031;Bianco_Fiore.png;031.jpg;EUR 28,13;COP 354.413;
;MAZZETTO;MZ;031;MZ031;Mazzetto.png;031.jpg;EUR 34,62;COP 436.262;
;GAROFANO BLU;GB;031;GB031;Garofano_Blu.png;031.jpg;EUR 38,23;COP 481.723;
;GAROFANO IMOLA;GI;031;GI031;Garofano_Imola.png;031.jpg;EUR 47,61;COP 599.861;
;GAROFANO TIFFANY;GT;031;GT031;Garofano_Tiffany.png;031.jpg;EUR 47,61;COP 599.861;
;GAROFANO ROSA;GP;031;GP031;Garofano_Rosa.png;031.jpg;EUR 47,61;COP 599.861;
;GAROFANO LAVI;GL;031;GL031;Garofano_Lavi.png;031.jpg;EUR 47,61;COP 599.861;
;ROSSO E ORO;GRG;031;GRG031;Rosso_E_Oro.png;031.jpg;EUR 52,37;COP 659.847;
;AVORIO E ORO;GIG;031;GIG031;Avorio_E_Oro.png;031.jpg;EUR 52,37;COP 659.847;
Small rectangular-shaped bowl;GIALLO FIORE;GF;032;GF032;Giallo_Fiore.png;032.jpg;EUR 21,64;COP 272.664;
;BIANCO FIORE;BF;032;BF032;Bianco_Fiore.png;032.jpg;EUR 21,64;COP 272.664;
;MAZZETTO;MZ;032;MZ032;Mazzetto.png;032.jpg;EUR 23,80;COP 299.880;
;GAROFANO BLU;GB;032;GB032;Garofano_Blu.png;032.jpg;EUR 25,97;COP 327.197;
;GAROFANO IMOLA;GI;032;GI032;Garofano_Imola.png;032.jpg;EUR 36,06;COP 454.406;
;GAROFANO TIFFANY;GT;032;GT032;Garofano_Tiffany.png;032.jpg;EUR 36,06;COP 454.406;
;GAROFANO ROSA;GP;032;GP032;Garofano_Rosa.png;032.jpg;EUR 36,06;COP 454.406;
;GAROFANO LAVI;GL;032;GL032;Garofano_Lavi.png;032.jpg;EUR 36,06;COP 454.406;
;ROSSO E ORO;GRG;032;GRG032;Rosso_E_Oro.png;032.jpg;EUR 39,67;COP 499.847;
;AVORIO E ORO;GIG;032;GIG032;Avorio_E_Oro.png;032.jpg;EUR 39,67;COP 499.847;
Medium rectangular-shaped bowl;GIALLO FIORE;GF;033;GF033;Giallo_Fiore.png;033.jpg;EUR 23,08;COP 290.808;
;BIANCO FIORE;BF;033;BF033;Bianco_Fiore.png;033.jpg;EUR 23,08;COP 290.808;
;MAZZETTO;MZ;033;MZ033;Mazzetto.png;033.jpg;EUR 25,97;COP 327.197;
;GAROFANO BLU;GB;033;GB033;Garofano_Blu.png;033.jpg;EUR 31,02;COP 390.802;
;GAROFANO IMOLA;GI;033;GI033;Garofano_Imola.png;033.jpg;EUR 40,39;COP 508.939;
;GAROFANO TIFFANY;GT;033;GT033;Garofano_Tiffany.png;033.jpg;EUR 40,39;COP 508.939;
;GAROFANO ROSA;GP;033;GP033;Garofano_Rosa.png;033.jpg;EUR 40,39;COP 508.939;
;GAROFANO LAVI;GL;033;GL033;Garofano_Lavi.png;033.jpg;EUR 40,39;COP 508.939;
;ROSSO E ORO;GRG;033;GRG033;Rosso_E_Oro.png;033.jpg;EUR 44,43;COP 559.833;
;AVORIO E ORO;GIG;033;GIG033;Avorio_E_Oro.png;033.jpg;EUR 44,43;COP 559.833;
Large rectangular-shaped bowl;GIALLO FIORE;GF;034;GF034;Giallo_Fiore.png;034.jpg;EUR 28,86;COP 363.586;
;BIANCO FIORE;BF;034;BF034;Bianco_Fiore.png;034.jpg;EUR 28,86;COP 363.586;
;MAZZETTO;MZ;034;MZ034;Mazzetto.png;034.jpg;EUR 33,18;COP 418.118;
;GAROFANO BLU;GB;034;GB034;Garofano_Blu.png;034.jpg;EUR 37,51;COP 472.651;
;GAROFANO IMOLA;GI;034;GI034;Garofano_Imola.png;034.jpg;EUR 46,16;COP 581.616;
;GAROFANO TIFFANY;GT;034;GT034;Garofano_Tiffany.png;034.jpg;EUR 46,16;COP 581.616;
;GAROFANO ROSA;GP;034;GP034;Garofano_Rosa.png;034.jpg;EUR 46,16;COP 581.616;
;GAROFANO LAVI;GL;034;GL034;Garofano_Lavi.png;034.jpg;EUR 46,16;COP 581.616;
;ROSSO E ORO;GRG;034;GRG034;Rosso_E_Oro.png;034.jpg;EUR 50,78;COP 639.778;
;AVORIO E ORO;GIG;034;GIG034;Avorio_E_Oro.png;034.jpg;EUR 50,78;COP 639.778;
Small spaghetti bowl;GIALLO FIORE;GF;035;GF035;Giallo_Fiore.png;035.jpg;EUR 23,80;COP 299.880;
;BIANCO FIORE;BF;035;BF035;Bianco_Fiore.png;035.jpg;EUR 23,80;COP 299.880;
;MAZZETTO;MZ;035;MZ035;Mazzetto.png;035.jpg;EUR 34,62;COP 436.262;
;GAROFANO BLU;GB;035;GB035;Garofano_Blu.png;035.jpg;EUR 38,95;COP 490.795;
;GAROFANO IMOLA;GI;035;GI035;Garofano_Imola.png;035.jpg;EUR 45,44;COP 572.544;
;GAROFANO TIFFANY;GT;035;GT035;Garofano_Tiffany.png;035.jpg;EUR 45,44;COP 572.544;
;GAROFANO ROSA;GP;035;GP035;Garofano_Rosa.png;035.jpg;EUR 45,44;COP 572.544;
;GAROFANO LAVI;GL;035;GL035;Garofano_Lavi.png;035.jpg;EUR 45,44;COP 572.544;
;ROSSO E ORO;GRG;035;GRG035;Rosso_E_Oro.png;035.jpg;EUR 49,98;COP 629.798;
;AVORIO E ORO;GIG;035;GIG035;Avorio_E_Oro.png;035.jpg;EUR 49,98;COP 629.798;
Large spaghetti bowl;GIALLO FIORE;GF;036;GF036;Giallo_Fiore.png;036.jpg;EUR 45,44;COP 572.544;
;BIANCO FIORE;BF;036;BF036;Bianco_Fiore.png;036.jpg;EUR 45,44;COP 572.544;
;MAZZETTO;MZ;036;MZ036;Mazzetto.png;036.jpg;EUR 54,82;COP 690.682;
;GAROFANO BLU;GB;036;GB036;Garofano_Blu.png;036.jpg;EUR 63,47;COP 799.747;
;GAROFANO IMOLA;GI;036;GI036;Garofano_Imola.png;036.jpg;EUR 67,08;COP 845.208;
;GAROFANO TIFFANY;GT;036;GT036;Garofano_Tiffany.png;036.jpg;EUR 67,08;COP 845.208;
;GAROFANO ROSA;GP;036;GP036;Garofano_Rosa.png;036.jpg;EUR 67,08;COP 845.208;
;GAROFANO LAVI;GL;036;GL036;Garofano_Lavi.png;036.jpg;EUR 67,08;COP 845.208;
;ROSSO E ORO;GRG;036;GRG036;Rosso_E_Oro.png;036.jpg;EUR 73,79;COP 929.729;
;AVORIO E ORO;GIG;036;GIG036;Avorio_E_Oro.png;036.jpg;EUR 73,79;COP 929.729;
Spoon;GIALLO FIORE;GF;037;GF037;Giallo_Fiore.png;037.jpg;EUR 16,59;COP 209.059;
;BIANCO FIORE;BF;037;BF037;Bianco_Fiore.png;037.jpg;EUR 16,59;COP 209.059;
;MAZZETTO;MZ;037;MZ037;Mazzetto.png;037.jpg;EUR 16,59;COP 209.059;
;GAROFANO BLU;GB;037;GB037;Garofano_Blu.png;037.jpg;EUR 17,31;COP 218.131;
;GAROFANO IMOLA;GI;037;GI037;Garofano_Imola.png;037.jpg;EUR 19,47;COP 245.347;
;GAROFANO TIFFANY;GT;037;GT037;Garofano_Tiffany.png;037.jpg;EUR 19,47;COP 245.347;
;GAROFANO ROSA;GP;037;GP037;Garofano_Rosa.png;037.jpg;EUR 19,47;COP 245.347;
;GAROFANO LAVI;GL;037;GL037;Garofano_Lavi.png;037.jpg;EUR 19,47;COP 245.347;
;ROSSO E ORO;GRG;037;GRG037;Rosso_E_Oro.png;037.jpg;EUR 21,42;COP 269.882;
;AVORIO E ORO;GIG;037;GIG037;Avorio_E_Oro.png;037.jpg;EUR 21,42;COP 269.882;
Small hexagonal plate;GIALLO FIORE;GF;038;GF038;Giallo_Fiore.png;038.jpg;EUR 13,70;COP 172.670;
;BIANCO FIORE;BF;038;BF038;Bianco_Fiore.png;038.jpg;EUR 13,70;COP 172.670;
;MAZZETTO;MZ;038;MZ038;Mazzetto.png;038.jpg;EUR 17,31;COP 218.131;
;GAROFANO BLU;GB;038;GB038;Garofano_Blu.png;038.jpg;EUR 24,53;COP 309.053;
;GAROFANO IMOLA;GI;038;GI038;Garofano_Imola.png;038.jpg;EUR 26,69;COP 336.269;
;GAROFANO TIFFANY;GT;038;GT038;Garofano_Tiffany.png;038.jpg;EUR 26,69;COP 336.269;
;GAROFANO ROSA;GP;038;GP038;Garofano_Rosa.png;038.jpg;EUR 26,69;COP 336.269;
;GAROFANO LAVI;GL;038;GL038;Garofano_Lavi.png;038.jpg;EUR 26,69;COP 336.269;
;ROSSO E ORO;GRG;038;GRG038;Rosso_E_Oro.png;038.jpg;EUR 29,36;COP 369.896;
;AVORIO E ORO;GIG;038;GIG038;Avorio_E_Oro.png;038.jpg;EUR 29,36;COP 369.896;
Large hexagonal plate;GIALLO FIORE;GF;039;GF039;Giallo_Fiore.png;039.jpg;EUR 31,02;COP 390.802;
;BIANCO FIORE;BF;039;BF039;Bianco_Fiore.png;039.jpg;EUR 31,02;COP 390.802;
;MAZZETTO;MZ;039;MZ039;Mazzetto.png;039.jpg;EUR 36,78;COP 463.478;
;GAROFANO BLU;GB;039;GB039;Garofano_Blu.png;039.jpg;EUR 51,94;COP 654.394;
;GAROFANO IMOLA;GI;039;GI039;Garofano_Imola.png;039.jpg;EUR 59,14;COP 745.214;
;GAROFANO TIFFANY;GT;039;GT039;Garofano_Tiffany.png;039.jpg;EUR 59,14;COP 745.214;
;GAROFANO ROSA;GP;039;GP039;Garofano_Rosa.png;039.jpg;EUR 59,14;COP 745.214;
;GAROFANO LAVI;GL;039;GL039;Garofano_Lavi.png;039.jpg;EUR 59,14;COP 745.214;
;ROSSO E ORO;GRG;039;GRG039;Rosso_E_Oro.png;039.jpg;EUR 65,06;COP 819.736;
;AVORIO E ORO;GIG;039;GIG039;Avorio_E_Oro.png;039.jpg;EUR 65,06;COP 819.736;
Cheese bowl with cover;GIALLO FIORE;GF;040;GF040;Giallo_Fiore.png;040.jpg;EUR 49,77;COP 627.077;
;BIANCO FIORE;BF;040;BF040;Bianco_Fiore.png;040.jpg;EUR 49,77;COP 627.077;
;MAZZETTO;MZ;040;MZ040;Mazzetto.png;040.jpg;EUR 53,38;COP 672.538;
;GAROFANO BLU;GB;040;GB040;Garofano_Blu.png;040.jpg;EUR 56,98;COP 717.998;
;GAROFANO IMOLA;GI;040;GI040;Garofano_Imola.png;040.jpg;EUR 69,97;COP 881.597;
;GAROFANO TIFFANY;GT;040;GT040;Garofano_Tiffany.png;040.jpg;EUR 69,97;COP 881.597;
;GAROFANO ROSA;GP;040;GP040;Garofano_Rosa.png;040.jpg;EUR 69,97;COP 881.597;
;GAROFANO LAVI;GL;040;GL040;Garofano_Lavi.png;040.jpg;EUR 69,97;COP 881.597;
;ROSSO E ORO;GRG;040;GRG040;Rosso_E_Oro.png;040.jpg;EUR 76,96;COP 969.756;
;AVORIO E ORO;GIG;040;GIG040;Avorio_E_Oro.png;040.jpg;EUR 76,96;COP 969.756;
Cheese bowl;GIALLO FIORE;GF;041;GF041;Giallo_Fiore.png;041.jpg;EUR 36,06;COP 454.406;
;BIANCO FIORE;BF;041;BF041;Bianco_Fiore.png;041.jpg;EUR 36,06;COP 454.406;
;MAZZETTO;MZ;041;MZ041;Mazzetto.png;041.jpg;EUR 42,56;COP 536.256;
;GAROFANO BLU;GB;041;GB041;Garofano_Blu.png;041.jpg;EUR 44,72;COP 563.472;
;GAROFANO IMOLA;GI;041;GI041;Garofano_Imola.png;041.jpg;EUR 64,92;COP 817.992;
;GAROFANO TIFFANY;GT;041;GT041;Garofano_Tiffany.png;041.jpg;EUR 64,92;COP 817.992;
;GAROFANO ROSA;GP;041;GP041;Garofano_Rosa.png;041.jpg;EUR 64,92;COP 817.992;
;GAROFANO LAVI;GL;041;GL041;Garofano_Lavi.png;041.jpg;EUR 64,92;COP 817.992;
;ROSSO E ORO;GRG;041;GRG041;Rosso_E_Oro.png;041.jpg;EUR 71,41;COP 899.791;
;AVORIO E ORO;GIG;041;GIG041;Avorio_E_Oro.png;041.jpg;EUR 71,41;COP 899.791;
Strawberry bowl;GIALLO FIORE;GF;042;GF042;Giallo_Fiore.png;042.jpg;EUR 30,30;COP 381.730;
;BIANCO FIORE;BF;042;BF042;Bianco_Fiore.png;042.jpg;EUR 30,30;COP 381.730;
;MAZZETTO;MZ;042;MZ042;Mazzetto.png;042.jpg;EUR 33,18;COP 418.118;
;GAROFANO BLU;GB;042;GB042;Garofano_Blu.png;042.jpg;EUR 46,16;COP 581.616;
;GAROFANO IMOLA;GI;042;GI042;Garofano_Imola.png;042.jpg;EUR 62,03;COP 781.603;
;GAROFANO TIFFANY;GT;042;GT042;Garofano_Tiffany.png;042.jpg;EUR 62,03;COP 781.603;
;GAROFANO ROSA;GP;042;GP042;Garofano_Rosa.png;042.jpg;EUR 62,03;COP 781.603;
;GAROFANO LAVI;GL;042;GL042;Garofano_Lavi.png;042.jpg;EUR 62,03;COP 781.603;
;ROSSO E ORO;GRG;042;GRG042;Rosso_E_Oro.png;042.jpg;EUR 68,24;COP 859.764;
;AVORIO E ORO;GIG;042;GIG042;Avorio_E_Oro.png;042.jpg;EUR 68,24;COP 859.764;
New fruit bowl with handles;GIALLO FIORE;GF;109;GF109;Giallo_Fiore.png;109.jpg;EUR 44,00;COP 554.400;
;BIANCO FIORE;BF;109;BF109;Bianco_Fiore.png;109.jpg;EUR 44,00;COP 554.400;
;MAZZETTO;MZ;109;MZ109;Mazzetto.png;109.jpg;EUR 48,33;COP 608.933;
;GAROFANO BLU;GB;109;GB109;Garofano_Blu.png;109.jpg;EUR 62,03;COP 781.603;
;GAROFANO IMOLA;GI;109;GI109;Garofano_Imola.png;109.jpg;EUR 67,08;COP 845.208;
;GAROFANO TIFFANY;GT;109;GT109;Garofano_Tiffany.png;109.jpg;EUR 67,08;COP 845.208;
;GAROFANO ROSA;GP;109;GP109;Garofano_Rosa.png;109.jpg;EUR 67,08;COP 845.208;
;GAROFANO LAVI;GL;109;GL109;Garofano_Lavi.png;109.jpg;EUR 67,08;COP 845.208;
;ROSSO E ORO;GRG;109;GRG109;Rosso_E_Oro.png;109.jpg;EUR 73,79;COP 929.729;
;AVORIO E ORO;GIG;109;GIG109;Avorio_E_Oro.png;109.jpg;EUR 73,79;COP 929.729;
Shallow fruit bowl with feet;GIALLO FIORE;GF;044;GF044;Giallo_Fiore.png;044.jpg;EUR 41,84;COP 527.184;
;BIANCO FIORE;BF;044;BF044;Bianco_Fiore.png;044.jpg;EUR 41,84;COP 527.184;
;MAZZETTO;MZ;044;MZ044;Mazzetto.png;044.jpg;EUR 47,61;COP 599.861;
;GAROFANO BLU;GB;044;GB044;Garofano_Blu.png;044.jpg;EUR 59,87;COP 754.387;
;GAROFANO IMOLA;GI;044;GI044;Garofano_Imola.png;044.jpg;EUR 66,36;COP 836.136;
;GAROFANO TIFFANY;GT;044;GT044;Garofano_Tiffany.png;044.jpg;EUR 66,36;COP 836.136;
;GAROFANO ROSA;GP;044;GP044;Garofano_Rosa.png;044.jpg;EUR 66,36;COP 836.136;
;GAROFANO LAVI;GL;044;GL044;Garofano_Lavi.png;044.jpg;EUR 66,36;COP 836.136;
;ROSSO E ORO;GRG;044;GRG044;Rosso_E_Oro.png;044.jpg;EUR 73,00;COP 919.750;
;AVORIO E ORO;GIG;044;GIG044;Avorio_E_Oro.png;044.jpg;EUR 73,00;COP 919.750;
High fruit bowl - 30 cm diameter;GIALLO FIORE;GF;045;GF045;Giallo_Fiore.png;045.jpg;EUR 54,82;COP 690.682;
;BIANCO FIORE;BF;045;BF045;Bianco_Fiore.png;045.jpg;EUR 54,82;COP 690.682;
;MAZZETTO;MZ;045;MZ045;Mazzetto.png;045.jpg;EUR 62,03;COP 781.603;
;GAROFANO BLU;GB;045;GB045;Garofano_Blu.png;045.jpg;EUR 74,30;COP 936.130;
;GAROFANO IMOLA;GI;045;GI045;Garofano_Imola.png;045.jpg;EUR 88,00;COP 1.108.800;
;GAROFANO TIFFANY;GT;045;GT045;Garofano_Tiffany.png;045.jpg;EUR 88,00;COP 1.108.800;
;GAROFANO ROSA;GP;045;GP045;Garofano_Rosa.png;045.jpg;EUR 88,00;COP 1.108.800;
;GAROFANO LAVI;GL;045;GL045;Garofano_Lavi.png;045.jpg;EUR 88,00;COP 1.108.800;
;ROSSO E ORO;GRG;045;GRG045;Rosso_E_Oro.png;045.jpg;EUR 96,80;COP 1.219.680;
